id,station_name,altitude,coord_lng,coord_lat
"BRW","Braunwald","1299",2717943,1199651
"OBI","Oberiberg","1075",2701842,1210464
"PRE","St-Prex","425",2523549,1148526
"LON","Longirod","900",2509387,1150107
"VLS","Vals","1242",2734017,1165551
"SAP","Safien Platz","1296",2743557,1171437
"STP","Stöckalp","1070",2664321,1183550
"SAX","Salez / Saxerriet","436",2755559,1233374
"KIE","Kiental","930",2622110,1159075
"ARH","Altenrhein","398",2760387,1261382
"EGR","Eggersriet","770",2753061,1256197
"LAB","Langenbruck","731",2624250,1244720
"FIO","Fionnay","1500",2589959,1097765
"WEE","Weesen","425",2724984,1221383
"SIH","Sihlbrugg","549",2686319,1230586
"LGA","Langnau am Albis","535",2682763,1238014
"UEB","Uetliberg","854",2679455,1245034
"GOS","Göschenen","950",2688477,1171926
"ENT","Entlebuch","768",2647936,1204165
"AND","Andeer","987",2752692,1164038
"THS","Thusis","672",2753156,1175089
"BIV","Bivio","1856",2771283,1148119
"MTR","Matro","2171",2714264,1140943
"BIA","Biasca","278",2718535,1132792
"MAL","Malbun","1610",2764703,1219184
"BRP","Brusio","856",2806479,1127184
"SOG","Soglio","1086",2761394,1134474
"ESZ","Eschenz","414",2707844,1278214
"KIS","Kiesen","535",2610256,1185527
"MEV","Mervelier","540",2603884,1243975
"BEY","Bellelay","923",2579603,1234881
"COU","Couvet","728",2540607,1198345
"DOB","Benken / Doggen","408",2715388,1227540
"SCM","Schmerikon","408",2713726,1231533
"WAG","Waldegg","545",2676762,1246211
"DIT","Dietikon","384",2672891,1251865
"BRT","Bristen","784",2696224,1180373
"AEG","Oberägeri","724",2688729,1220956
"SVG","Savognin","1172",2765388,1162663
"LAT","Bergün / Latsch","1408",2777274,1166618
"BLZ","Bellinzona","224",2720913,1116587
"MOB","Montagnier, Bagnes","839",2583491,1102189
"ORS","Orsières","929",2577021,1096695
"BEX","Bex","402",2565805,1121511
"CDM","Col des Mosses","1412",2573817,1137853
"MMO","Mormont","535",2569727,1254224
"AIR","Airolo","1139",2688910,1153417
"FAI","Faido","747",2704950,1148266
"BOS","Bosco/Gurin","1486",2680879,1130026
"MSG","Mosogno","771",2692803,1117049
"SIM","Simplon-Dorf","1465",2647683,1116340
"BUF","Buffalora","1971",2816494,1170255
"MAT","Martina","1041",2830465,1196986
"ILZ","Ilanz","698",2735686,1181965
"ROT","Rothenbrunnen","620",2751221,1181292
"TST","Tschiertschen","1273",2765539,1187679
"KLA","Klosters","1186",2786858,1193366
"VAE","Vättis","939",2752733,1197282
"SUA","Schaan","444",2755511,1228260
"ALS","Altstätten, SG","430",2759910,1250202
"AMW","Amriswil","420",2741797,1268304
"APP","Appenzell","750",2748013,1245040
"BIZ","Bischofszell / Sitterdorf","507",2737714,1263613
"PFA","Pfäffikon, ZH","537",2699401,1248165
"OPF","Opfikon","424",2684615,1254698
"INN","Innerthal","903",2712080,1218326
"REM","Rempen","650",2710611,1221850
"LAC","Lachen / Galgenen","468",2707638,1226334
"GOA","Göscheneralp","1745",2681253,1166804
"FLU","Flühli, LU","940",2644333,1193311
"ZWK","Zwillikon","461",2675139,1238165
"KAS","Kandersteg","1178",2618313,1149198
"ZWE","Zweisimmen","936",2595880,1155471
"BOL","Boltigen","820",2595831,1163587
"THU","Thun","570",2611201,1177640
"GSG","Gsteig, Gstaad","1196",2587686,1136142
"VST","La Valsainte","1044",2580090,1166314
"MAS","Marsens","715",2571758,1167317
"ROM","Romont","692",2561476,1172622
"VIT","Villars-Tiercelin","859",2544198,1163651
"AUB","L' Auberson","1096",2523852,1186296
